Strain,Treatment
RK-04-3,539.69
RK-04-3,412.35
RK-04-3,319.73
RK-04-4,261.85
RK-04-4,65.05
RK-04-4,111.36
RGN-124,389.19
RGN-124,516.54
RGN-124,203.97
HYT-27,192.39
HYT-27,215.55
HYT-27,157.66
PBR-275,250.27
PBR-275,203.97
PBR-275,366.04
HUJM-03-03,296.58
HUJM-03-03,273.43
HUJM-03-03,308.16
