treatment,block,yield
1,1,144.44
2,1,113.5
3,1,60.88
4,1,163.44
5,1,110.11
6,1,260.05
7,1,114
8,1,91.94
9,1,156.11
1,2,145.11
2,2,118.61
3,2,90.94
4,2,158.88
5,2,119.66
6,2,256.22
7,2,114.88
8,2,76.83
9,2,148.22
1,3,104
2,3,118.61
3,3,80.33
4,3,158.88
5,3,119.66
6,3,256.22
7,3,114.88
8,3,76.83
9,3,148.22
1,4,105.44
2,4,123
3,4,92
4,4,153.11
5,4,103.22
6,4,217.8
7,4,106.33
8,4,79.5
9,4,183.17
