Fat,Batch,Values
1,1,66.8
2,1,77.9
3,1,71.7
1,2,68.12
2,2,78.7
3,2,71.8
1,3,67
2,3,77.1
3,3,71.8
1,4,64
2,4,76.2
3,4,71
